TIMESTAMP: 20.200000, X: -7.317122, Y: 1.315906, Z: -3.200285, PITCH: 0.120138, YAW: -2.947996
TIMESTAMP: 20.300000, X: -7.368240, Y: 1.328470, Z: -3.206876, PITCH: 0.120135, YAW: -2.948092
TIMESTAMP: 20.400000, X: -7.414777, Y: 1.342220, Z: -3.211284, PITCH: 0.120134, YAW: -2.948123
TIMESTAMP: 20.500000, X: -7.456432, Y: 1.356676, Z: -3.213381, PITCH: 0.120131, YAW: -2.948191
TIMESTAMP: 20.600000, X: -7.492934, Y: 1.371367, Z: -3.213057, PITCH: 0.120127, YAW: -2.948297
TIMESTAMP: 20.700000, X: -7.524045, Y: 1.385834, Z: -3.210225, PITCH: 0.120124, YAW: -2.948383
TIMESTAMP: 20.800000, X: -7.549563, Y: 1.399636, Z: -3.204819, PITCH: 0.120121, YAW: -2.948443
TIMESTAMP: 20.900000, X: -7.569321, Y: 1.412353, Z: -3.196796, PITCH: 0.120118, YAW: -2.948522
TIMESTAMP: 21.000000, X: -7.583190, Y: 1.423589, Z: -3.186134, PITCH: 0.120114, YAW: -2.948647
TIMESTAMP: 21.100000, X: -7.591081, Y: 1.432975, Z: -3.172837, PITCH: 0.120108, YAW: -2.948800
TIMESTAMP: 21.200000, X: -7.592943, Y: 1.440172, Z: -3.156930, PITCH: 0.120102, YAW: -2.948948
TIMESTAMP: 21.300000, X: -7.588765, Y: 1.444874, Z: -3.138462, PITCH: 0.120097, YAW: -2.949086
TIMESTAMP: 21.400000, X: -7.578576, Y: 1.446806, Z: -3.117507, PITCH: 0.120092, YAW: -2.949224
TIMESTAMP: 21.500000, X: -7.562444, Y: 1.445732, Z: -3.094158, PITCH: 0.120086, YAW: -2.949368
TIMESTAMP: 21.600000, X: -7.540476, Y: 1.441447, Z: -3.068532, PITCH: 0.120081, YAW: -2.949512
TIMESTAMP: 21.700000, X: -7.512817, Y: 1.433787, Z: -3.040766, PITCH: 0.120076, YAW: -2.949652
TIMESTAMP: 21.800000, X: -7.479648, Y: 1.422620, Z: -3.011017, PITCH: 0.120070, YAW: -2.949793
TIMESTAMP: 21.900000, X: -7.441184, Y: 1.407854, Z: -2.979462, PITCH: 0.120065, YAW: -2.949936
TIMESTAMP: 22.000000, X: -7.397676, Y: 1.389431, Z: -2.946294, PITCH: 0.120059, YAW: -2.950078
TIMESTAMP: 22.100000, X: -7.349404, Y: 1.367328, Z: -2.911724, PITCH: 0.120054, YAW: -2.950219
TIMESTAMP: 22.200000, X: -7.296678, Y: 1.341555, Z: -2.875977, PITCH: 0.120049, YAW: -2.950360
TIMESTAMP: 22.300000, X: -7.239835, Y: 1.312157, Z: -2.839291, PITCH: 0.120043, YAW: -2.950503
TIMESTAMP: 22.400000, X: -7.179237, Y: 1.279207, Z: -2.801916, PITCH: 0.120038, YAW: -2.950646
