TIMESTAMP: 6.800000, X: 1.682319, Y: -0.055534, Z: -8.250604, PITCH: 1.194881, YAW: 2.274323
TIMESTAMP: 6.900000, X: 1.771519, Y: -0.025143, Z: -8.243604, PITCH: 1.192182, YAW: 2.355663
TIMESTAMP: 7.000000, X: 1.861979, Y: 0.003777, Z: -8.231626, PITCH: 1.189626, YAW: 2.436569
TIMESTAMP: 7.100000, X: 1.953458, Y: 0.030912, Z: -8.214923, PITCH: 1.187008, YAW: 2.517681
TIMESTAMP: 7.200000, X: 2.045707, Y: 0.055949, Z: -8.193764, PITCH: 1.184316, YAW: 2.598983
TIMESTAMP: 7.300000, X: 2.138472, Y: 0.078579, Z: -8.168429, PITCH: 1.181659, YAW: 2.680213
TIMESTAMP: 7.400000, X: 2.231499, Y: 0.098497, Z: -8.139206, PITCH: 1.179034, YAW: 2.761312
TIMESTAMP: 7.500000, X: 2.324530, Y: 0.115407, Z: -8.106386, PITCH: 1.176391, YAW: 2.842405
TIMESTAMP: 7.600000, X: 2.417312, Y: 0.129022, Z: -8.070265, PITCH: 1.173741, YAW: 2.923727
TIMESTAMP: 7.700000, X: 2.509588, Y: 0.139068, Z: -8.031136, PITCH: 1.171102, YAW: 3.005123
TIMESTAMP: 7.800000, X: 2.601110, Y: 0.145286, Z: -7.989289, PITCH: 1.168447, YAW: 3.085967
TIMESTAMP: 7.900000, X: 2.691633, Y: 0.147430, Z: -7.945004, PITCH: 1.165784, YAW: -3.116541
TIMESTAMP: 8.000000, X: 2.780917, Y: 0.145277, Z: -7.898554, PITCH: 1.163166, YAW: -3.034571
TIMESTAMP: 8.100000, X: 2.868732, Y: 0.138622, Z: -7.850200, PITCH: 1.160557, YAW: -2.952276
TIMESTAMP: 8.200000, X: 2.954859, Y: 0.127281, Z: -7.800185, PITCH: 1.157855, YAW: -2.872835
TIMESTAMP: 8.300000, X: 3.039087, Y: 0.111096, Z: -7.748738, PITCH: 1.155138, YAW: -2.793994
TIMESTAMP: 8.400000, X: 3.121220, Y: 0.089932, Z: -7.696065, PITCH: 1.152603, YAW: -2.709153
TIMESTAMP: 8.500000, X: 3.201073, Y: 0.063684, Z: -7.642352, PITCH: 1.150093, YAW: -2.623148
TIMESTAMP: 8.600000, X: 3.278477, Y: 0.032271, Z: -7.587764, PITCH: 1.147236, YAW: -2.549505
TIMESTAMP: 8.700000, X: 3.353281, Y: -0.004356, Z: -7.532436, PITCH: 1.144325, YAW: -2.478246
TIMESTAMP: 8.800000, X: 3.425347, Y: -0.046219, Z: -7.476484, PITCH: 1.142098, YAW: -2.381421
TIMESTAMP: 8.900000, X: 3.494559, Y: -0.093307, Z: -7.419991, PITCH: 1.140057, YAW: -2.277098
TIMESTAMP: 9.000000, X: 3.560818, Y: -0.145581, Z: -7.363018, PITCH: 1.136301, YAW: -2.238398
TIMESTAMP: 9.100000, X: 3.624042, Y: -0.202969, Z: -7.305596, PITCH: 1.130016, YAW: -2.296428
TIMESTAMP: 9.200000, X: 3.684174, Y: -0.265371, Z: -7.247730, PITCH: 1.122689, YAW: -2.394241
TIMESTAMP: 9.300000, X: 3.741174, Y: -0.332655, Z: -7.189401, PITCH: 1.115944, YAW: -2.469676
TIMESTAMP: 9.400000, X: 3.795023, Y: -0.404660, Z: -7.130563, PITCH: 1.109696, YAW: -2.526634
TIMESTAMP: 9.500000, X: 3.845725, Y: -0.481197, Z: -7.071148, PITCH: 1.103194, YAW: -2.593191
TIMESTAMP: 9.600000, X: 3.893303, Y: -0.562049, Z: -7.011065, PITCH: 1.096434, YAW: -2.668971
TIMESTAMP: 9.700000, X: 3.937802, Y: -0.646976, Z: -6.950205, PITCH: 1.089803, YAW: -2.739998
TIMESTAMP: 9.800000, X: 3.979289, Y: -0.735708, Z: -6.888442, PITCH: 1.083309, YAW: -2.806457
TIMESTAMP: 9.900000, X: 4.017849, Y: -0.827959, Z: -6.825635, PITCH: 1.076747, YAW: -2.875284
TIMESTAMP: 10.000000, X: 4.053589, Y: -0.923417, Z: -6.761630, PITCH: 1.070112, YAW: -2.946342
TIMESTAMP: 10.100000, X: 4.086636, Y: -1.021754, Z: -6.696268, PITCH: 1.063513, YAW: -3.016231
TIMESTAMP: 10.200000, X: 4.117135, Y: -1.122625, Z: -6.629379, PITCH: 1.056953, YAW: -3.085057
TIMESTAMP: 10.300000, X: 4.145250, Y: -1.225670, Z: -6.560794, PITCH: 1.050374, YAW: 3.128748
TIMESTAMP: 10.400000, X: 4.171163, Y: -1.330519, Z: -6.490344, PITCH: 1.043774, YAW: 3.058848
TIMESTAMP: 10.500000, X: 4.195073, Y: -1.436791, Z: -6.417861, PITCH: 1.037184, YAW: 2.989198
TIMESTAMP: 10.600000, X: 4.217195, Y: -1.544097, Z: -6.343186, PITCH: 1.030605, YAW: 2.919860
TIMESTAMP: 10.700000, X: 4.237757, Y: -1.652046, Z: -6.266168, PITCH: 1.024020, YAW: 2.850428
